Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2011-02-08,179.52560424804688,184.643759114766,177.9345735402068,184.63928666175454,7195990
2011-02-09,181.2689666748047,182.40733569525278,177.60289623255423,179.0908414180566,7357580
2011-02-10,180.69085693359375,183.66224793392342,179.27013509498659,180.70430164663685,11535590
2011-02-11,184.58547973632812,184.64823084585845,178.821951717227,178.821951717227,10103420
2011-02-14,188.72218322753906,189.14795534125102,183.76536424845744,183.76536424845744,5922360
2011-02-15,188.86102294921875,190.7433642242734,186.0195938765775,189.1299307995439,7599730
2011-02-16,187.7720184326172,190.20560719036854,186.89359861602313,189.48852392739914,4550790
2011-02-17,195.90638732910156,196.65931855972033,187.78545298273863,188.23362828818668,11804920
2011-02-18,195.05484008789062,201.06038592522916,194.08229374133458,195.76295099118065,19767870
2011-02-21,197.34951782226562,197.9142230994729,191.14677306444267,194.05991263048926,5600510
2011-02-22,191.6800994873047,196.45316380483447,190.5103548156862,196.3007858406544,5796430
2011-02-23,189.49752807617188,192.98433218093106,188.25160099702214,190.4924780226316,6114220
2011-02-24,184.5675811767578,189.89637912788567,183.37094694019333,187.0683936830114,10027770
2011-02-25,183.04824829101562,187.0683815820626,180.88356744686376,187.0683815820626,6309960
2011-02-28,183.95358276367188,190.11150785949636,182.40737229421845,185.00678392236088,10981360
2011-03-01,191.7293701171875,192.715361156786,184.55856598112103,185.97480143926097,10250580
2011-03-03,196.5831298828125,199.19598580874703,190.92715990441272,191.36189048333634,12668820
2011-03-04,198.83299255371094,200.14614305500896,197.7797777390827,198.09350595696392,9854940
2011-03-07,194.7904510498047,197.5556852502437,192.79606530734205,197.5556852502437,6427840
2011-03-08,197.77975463867188,198.85538630164575,193.29800163369654,193.43246243018066,8985570
2011-03-09,197.7394256591797,200.6660099006537,196.7489620488756,198.09348798542825,9041990
2011-03-10,197.9500732421875,198.54166795066942,195.61508364060748,196.48005873086072,7470310
2011-03-11,195.97361755371094,198.7209344578882,194.9562644995489,195.5881933429869,6553950
2011-03-14,198.51927185058594,198.90020994689695,194.6873644963863,194.6873644963863,6541440
2011-03-15,195.82122802734375,197.88732324592155,190.92267534389464,194.50807769777057,13801000
2011-03-16,195.7405548095703,197.64529976192446,195.27893481526522,196.8385897235818,5805340
2011-03-17,195.53887939453125,200.15509322569733,194.1629916078404,194.52601250940157,16760620
2011-03-18,192.6526641845703,196.85655147884864,192.00730421404506,195.40446761001903,4822120
2011-03-21,193.11427307128906,195.2879124638287,192.39718981318165,194.52602261483534,6159350
2011-03-22,192.8588104248047,194.7770002815289,192.00279390706956,193.5310734167953,4715270
2011-03-23,193.9882049560547,195.5747494273803,192.27169948880206,192.7153886813796,4657350
2011-03-24,196.55178833007812,197.0985628262223,194.37366260628826,195.31481993747047,4413810
2011-03-25,203.0279083251953,203.9197728451024,197.19714297108803,197.82458569055095,8901480
2011-03-28,205.8693389892578,207.2362682643655,203.02342293017776,203.02342293017776,10930310
2011-03-29,206.62228393554688,208.29398293808563,204.78476223955929,207.05701457817884,10818300
2011-03-30,209.88047790527344,211.89726666289192,206.69844436281022,207.50515439496797,11097420
2011-03-31,210.27040100097656,214.75662622905685,206.61776154690662,210.6423804633908,18931910
2011-04-01,209.18582153320312,211.98691716166059,208.2222473724587,210.91129917577786,4369290
2011-04-04,215.19586181640625,215.57232744135698,209.7460483213203,209.7460483213203,6322270
2011-04-05,214.74319458007812,216.01601080456527,212.26927182114574,215.12414632463964,8412660
2011-04-06,212.9684295654297,214.67597642570246,210.732039114659,214.3174416436895,6469860
2011-04-07,211.0681610107422,213.15217340059786,209.71019041166758,212.8832654876948,6558160
